node_id,tgn_memory,gt_embedding,scn_embedding
61,"[ 0.07800938 -0.10713731 -0.02691124  0.17578356 -0.01595924 -0.04092845
 -0.16950244  0.01034151]","[ 1.1917984  -0.9883531   0.12482446  1.4073775  -0.41316897 -0.02771648
 -1.7868347   0.49207282]","[-0.31067377 -0.17579228 -0.07593043 -0.5275803  -1.5532851   0.09514003
 -0.20619649 -0.7154871 ]"
62,"[ 0.07799219 -0.10715906 -0.02688887  0.17578253 -0.01596888 -0.04094936
 -0.16948824  0.01035575]","[ 1.1917206  -0.9885609   0.12507841  1.4073516  -0.41321924 -0.02785262
 -1.786724    0.49220598]","[-0.3106633  -0.17580137 -0.07593845 -0.5275835  -1.553288    0.09512842
 -0.20619713 -0.7154931 ]"
63,"[ 0.0779942  -0.10715549 -0.02688942  0.17578018 -0.01596745 -0.0409495
 -0.1694867   0.01035804]","[ 1.1917359  -0.9885438   0.12506555  1.4073335  -0.41321442 -0.02786742
 -1.7867339   0.4922246 ]","[-0.31066328 -0.17580137 -0.07593815 -0.52758396 -1.553288    0.09512825
 -0.20619732 -0.71549237]"
64,"[ 0.07796479 -0.10719717 -0.02685168  0.1757797  -0.01598101 -0.04098905
 -0.16946469  0.01038139]","[ 1.1916012  -0.9889208   0.12550516  1.407292   -0.41326416 -0.02811045
 -1.7865425   0.49243978]","[-0.31064466 -0.17581704 -0.07595207 -0.5275899  -1.5532929   0.09510843
 -0.20619881 -0.7155026 ]"
65,"[ 0.07798222 -0.1071565  -0.02687206  0.17577527 -0.01598336 -0.04095249
 -0.16946898  0.01037156]","[ 1.1916889  -0.9886239   0.12522736  1.4073042  -0.41336444 -0.02793328
 -1.7866597   0.49236128]","[-0.31065843 -0.17580768 -0.07594298 -0.5275846  -1.5532904   0.09511948
 -0.2061968  -0.71549654]"
66,"[ 0.07800794 -0.1071336  -0.02690711  0.17578012 -0.01596289 -0.04092838
 -0.16949612  0.01034705]","[ 1.1917989  -0.9883544   0.12485417  1.407355   -0.41321245 -0.02774253
 -1.7868242   0.49212566]","[-0.31067267 -0.17579386 -0.07593141 -0.52758074 -1.5532857   0.09513763
 -0.20619643 -0.71548766]"
67,"[ 0.0779608  -0.10719704 -0.02684315  0.17577492 -0.01598525 -0.04099444
 -0.16945489  0.01039114]","[ 1.1915935  -0.98896164  0.1255833   1.4072534  -0.41330752 -0.02817722
 -1.7865139   0.49253   ]","[-0.31064138 -0.17582062 -0.0759546  -0.5275914  -1.553294    0.09510341
 -0.20619906 -0.715504  ]"
68,"[ 0.07801723 -0.10712358 -0.02692179  0.1757838  -0.01595769 -0.04091433
 -0.16950797  0.01033441]","[ 1.1918334  -0.9882355   0.1246969   1.4073949  -0.41317967 -0.02763258
 -1.7868876   0.49201053]","[-0.3106796  -0.17578772 -0.07592635 -0.52757806 -1.5532837   0.09514583
 -0.20619577 -0.7154844 ]"
69,"[ 0.07801892 -0.10712618 -0.02692418  0.17578489 -0.01595348 -0.04091687
 -0.16951144  0.01033256]","[ 1.1918397  -0.98823905  0.1246807   1.4073972  -0.4131349  -0.02763562
 -1.7868968   0.49198896]","[-0.31067964 -0.17578703 -0.0759259  -0.5275784  -1.5532835   0.09514691
 -0.20619613 -0.71548384]"
70,"[ 0.07801889 -0.10712613 -0.02692395  0.17578468 -0.01595348 -0.04091712
 -0.16951115  0.0103329 ]","[ 1.1918399  -0.98823994  0.12468266  1.4073954  -0.41313508 -0.02763843
 -1.7868962   0.49199203]","[-0.31067955 -0.17578712 -0.07592599 -0.52757853 -1.5532835   0.09514676
 -0.20619616 -0.71548384]"
71,"[ 0.07801858 -0.1071267  -0.0269239   0.17578505 -0.01595369 -0.04091708
 -0.16951144  0.01033252]","[ 1.1918377  -0.9882427   0.1246844   1.4073982  -0.41313562 -0.02763582
 -1.786895    0.49198902]","[-0.31067953 -0.17578709 -0.07592599 -0.5275784  -1.5532835   0.09514678
 -0.20619616 -0.7154839 ]"
