node_id,video_id,title,views,likes,comments,timestamp,category_id,category_name,source_type
5121,mNo5ZoFhcho,마주유이 커플 헤어지게 생겼습니다.. 어떡하죠?,179789,4517,487,1750528803,20,Gaming,게임인기
5122,e1P466c6pVQ,드디어 영상 올립니다♡#아이브#포카포장#하울의움직이는성ost#아이브 유진#@콩순쨩-day,12,3,0,1750528804,22,Unknown,키워드:하울
5123,BnfDo8L2uxg,쉽겟 타오바오 직구 하울⛧ | 포장 용품 | 헤더택 | 인덱스 | 포카 포장 | 포카홀더 | 다꾸 파우치 | 카라비너 | 키링 | 바인더 | 파우치 만들기 | 시즈니 브이로그,4459,200,57,1750528804,22,Unknown,키워드:하울
5124,DXtDVQ12qxY,[하다꾸] 하울하고 다꾸하고.. | 푼푼더기..🐤 #다꾸 #감성다꾸 #심플다꾸 #다꾸하울 #힐링 #scrapbooking #journal #sticker #コラージュ,57,11,6,1750528804,22,Unknown,키워드:하울
5125,BC27tUz854Q,모델하울의 닌텐도이야기 ㅡ 나의 닌텐도는 언제쯤 돌아올까??,289,0,0,1750528804,20,Gaming,키워드:하울
5126,OdmcSf8Zze8,[하울교회] 2025년 6월 21일 새벽 말씀묵상(금요기도회) / 대상 21:18~30,49,0,0,1750528804,27,Unknown,키워드:하울
5127,N_-muvD7dDQ,서울국제도서전 다녀왔어요!(+하울) | 30만원 빛삭✨ | 영원히 책미새가 되..💚,1402,51,8,1750528804,24,Unknown,키워드:하울
5128,5ikvHxi0JHI,그냥 하울이 되어버린 신체 조종 설명 시도,8,1,0,1750528804,22,Unknown,키워드:하울
5129,LLcC6m7j1ZM,"6월 패션 하울 🌱 | 16가지 아이템 하울 ଓ 찐후기 탈탈 🎈체크패턴에 묻히다.. (29cm,무신사,지그재그)",569,42,9,1750528804,22,Unknown,키워드:하울
5130,yTFMctnxOpo,"[🇯🇵하울]🍣스시가 맛있는 일본마트 구경하고 장본 거 소개🚀 |사시미, 카와고에, 타코야키",281,50,13,1750528804,22,Unknown,키워드:하울
5131,d8VAH864apc,[갓성비 하울] 로레알 헤어팩+전기면도기+미소라인+건전지+행거 언박싱!,1,0,1,1750528804,22,Unknown,키워드:하울
5132,mYUfOMYZoe0,💃🏻다드레스🛒주문 010 3037 2624🎁 #패션 #코디 #여성의류 #여름신상 #여름코디 #데일리룩 #스타일링 #40대 #50대 #중년패션코디 #만다린린넨블라우스,1248,3,0,1750528805,24,Unknown,키워드:코디
5133,i0iq3l1ZES4,💃🏻다드레스🛒주문 010 3037 2624🎁 #패션 #코디 #여성의류 #여름신상 #여름코디 #데일리룩 #스타일링 #40대 #50대 #중년패션코디 #백업단가라롱슬리브,2023,3,0,1750528805,24,Unknown,키워드:코디
5134,wmUCgUUcbeI,4kg 쪘는데 비도 와…☔️장마철에도 이뻐버리는 여름코디 룩북 (+ 레인부츠 코디법🌧️)|직장인 비오는날 출근룩 반팔 반바지 여름 패션    데이트룩  자라,17081,405,82,1750528805,26,Unknown,키워드:코디
5135,GqT3snEyxds,밍스타 상하이여행 ✈️💙 #샹하이로맨스 #상해여행 #브이로그 #여행 #밍스타,1167,9,1,1750528806,10,Music,키워드:여행
5136,s_3YdowQJQ0,🚨숙박비 포함🚨 하루 5만원으로 일본 여행 가능할까?,67950,2876,226,1750528806,19,Unknown,키워드:여행
5137,ADTKgKsfrIw,먼훗날 추억 만들고 왔어요#여행 #서귀포정보화농업인#선진지견학#진주농업기술센터#다감농원#노무현대통령생가#백천사,926,6,0,1750528806,22,Unknown,키워드:여행
5138,4Lck0nMEJAk,🔥릴게임 추천▶ 야마토게임 선장 철이 더 빨리 볼수 있습니다,0,0,0,1750528807,22,Unknown,키워드:게임추천
5139,5nSKSzGIGNE,해외에서 해물 고기 짬뽕을 만들어 먹어요 - 빤빤 뷰티,8387,454,32,1750528807,19,Unknown,키워드:뷰티
5140,EoEWLkxErjc,뷰티이어테라피-부종제거&리프팅-귀에 붙이는 예뻐지는 비밀-Removing swelling & Lifting with Beauty Ear Therapy,657,1,1,1750528807,26,Unknown,키워드:뷰티
5141,48y-1_dnmyQ,2025 코리아뷰티페스티벌 제니하우스 시그니처 헤어쇼 포토월 송지효 한고은 한채아 우희 씨스타 보라 임성민 펜타곤 홍석 임사랑 유하나 이슬 남자아이돌 연예인 DDP,146,5,0,1750528807,22,Unknown,키워드:뷰티
5142,XRVnkWV_E0c,메타퀘스트 25년 6월 할인 VR 게임 추천,56,3,0,1750528807,20,Gaming,키워드:게임추천
5143,XosFAQj-y04,▶최 고 환수율 릴게임 안 전 한 릴게임 추천◀,0,0,0,1750528807,22,Unknown,키워드:게임추천
5144,IBsdABDBcQY,지금 가장 많이 팔리는 스위치게임 추천 TOP 5,15,0,1,1750528807,22,Unknown,키워드:게임추천
5145,kBE--oXupK4,짚라인과 수학시간 #로블록스 #roblox #게임추천 #memes #로벅스 #로블계 #로벅스나눔 #로블 #로벅스이벤트 #robloxedit,487,11,0,1750528807,22,Unknown,키워드:게임추천
5146,C0ssFTWwZIk,현재 인기가 많은 모바일게임 추천 - 6월 RPG 랭킹을 알아볼까요?,2801,24,16,1750528807,20,Gaming,키워드:게임추천
5147,hFsEBVRPryA,후기와 만족도로 고른 ps5게임 추천 TOP 5,0,0,1,1750528807,22,Unknown,키워드:게임추천
5148,tw-cCWxUozE,마스 게임 추천받음,4,1,0,1750528807,22,Unknown,키워드:게임추천
5149,4dtgue2hbl8,개찾기 게임 11-15단계 #games #gaming #gameplay #게임추천,60,1,0,1750528807,1,Unknown,키워드:게임추천
5150,kgFYucrsIhU,로블록스 시참 게임 추천도 받아요!!,27,1,0,1750528807,22,Unknown,키워드:게임추천
5151,xkPnNUxGuKE,"11살때 절대 못깼던 그 게임, 다시 깨보겠습니다.",190999,7544,779,1750550404,20,Gaming,게임인기
5152,hIJZ4ah3KRM,영화도 이렇게 만들면 욕 먹어요 EP.10,142492,1500,210,1750550404,20,Gaming,게임인기
5153,c4biZnFkDI4,현실세계를 침공한 귀신들의 슬픈 운명... 진짜 제일재밌었던 미믹 챕터!! (로블록스 더미믹 북2 챕터4),85651,1606,502,1750550404,20,Gaming,게임인기
5154,loLH2DwJ1zM,감스트x세글자 메이플 나에게 맞는 직업은??,164731,1260,167,1750550404,20,Gaming,게임인기
5155,AjyR2Qwnhyk,버튜버 선생님이 실제로 오셨습니다..,184087,1325,186,1750550404,20,Gaming,게임인기
5156,dU6SP2Hi-b8,안녕하세요 주키니 와이프입니다,229420,5575,758,1750550404,20,Gaming,게임인기
5157,Z96kbAE_Fy0,모양몬이 실제 식중독에 걸렸습니다..촬영을 진행할 수 없어요 ㅠㅠ,151725,2329,500,1750550404,20,Gaming,게임인기
5158,4Dx0clTBAyw,창섭이형 문 열어!!,255272,1428,191,1750550404,20,Gaming,게임인기
5159,DhcDsJbJ7Sk,픽셀리 레전드 피규어 총출동! 귀여운만큼 전투력 MAX,220323,9435,671,1750550404,20,Gaming,게임인기
5160,Ak1HYbIblDI,[대학부] 티엔론 토너먼트 선발 팀 발탁! 한남대학교 장연우 선수!,338,3,0,1750550405,17,Unknown,키워드:학교
5161,mNZzbLve0OY,"(급매) 해남군 황산면 한자리 학교건물 2개동과 토지 4,016평 (협의가능)",13,0,0,1750550405,22,Unknown,키워드:학교
5162,f0NU4o3A9_0,“같이 살아야 명품 아파트”…특수학교 설명회장 충돌 / 채널A / 뉴스A,297,5,0,1750550405,25,News & Politics,키워드:학교
5163,gqJbbW7ZGWQ,"부산서 같은 학교 다니는 10대 3명 숨진 채 발견‥교육청 ""특별감사 착수"" (2025.06.21/뉴스데스크/MBC)",197578,3438,1113,1750550405,25,News & Politics,키워드:학교
5164,eHSmWgfT2X4,경찰새내기와 대화#중앙경찰학교#빽없는그대에게#성공의 싹,655,3,0,1750550405,22,Unknown,키워드:학교
5165,2X5aAK9mo_I,학교에 숨겨진 어두운 진실을 파헤친 두 학생들의 최후;;;,1844,0,31,1750550405,20,Gaming,키워드:학교
5166,fyK0yYtEOlU,#제이마켓#운동화#신발#러닝화#제엔티#크록스#신상#패션,1461,14,6,1750550406,24,Unknown,키워드:패션
5167,9Wo8kxS1iZQ,각양각색 패션회사 직원들의 여름 출근룩,9712,155,20,1750550406,26,Unknown,키워드:패션
5168,xYEZq4VZOyU,💃🏻다드레스🛒주문 010 3037 2624🎁 #패션 #코디 #여성의류 #여름신상 #여름코디 #데일리룩 #스타일링 #40대 #50대 #중년패션코디 #트렌드 #빨강두줄팔찌,1409,6,0,1750550406,24,Unknown,키워드:패션
5169,g23iAIkqQiM,경희체력학원 1관 PST 경찰순환식체력 #경찰 #경찰체력 #경찰순환식체력 #경찰대편입 #경찰대 #경찰청 #경찰관 #경찰행정학과 #경찰학 #형사법 #헌법 #행정법 #경찰간부 #노량진,691,7,1,1750550407,22,Unknown,키워드:학원
5170,vuT7utlqvMU,대학입시 농어촌전형 입시설명회  종로학원 임성호 대표,4,0,0,1750550407,1,Unknown,키워드:학원
5171,vNtcIERLe6E,"✨J-KINGDOM WAACKING PERFORMANCE✨ 제7회 통영시 학원 종합 문화제 | Better, opr 외2곡 | J-kingdom from Korea",238,38,8,1750550407,22,Unknown,키워드:학원
5172,96BSC8Q5CE8,청소 전 옮긴 물건은 청소 후 원위치! #학원청소 #부산청소업체 #청소전문 #정기청소 #상가청소 #학원 #청소 #클린버튼,71,0,0,1750550407,22,Unknown,키워드:학원
5173,qjC-83mu9bE,청주 AFSTARZ댄스학원!! [아이돌 케이팝 전문댄스학원],107,23,1,1750550407,24,Unknown,키워드:학원
5174,nvm9Nxeq3Tk,[🔴속보] '이란에 지원사격' 헤즈볼라 선언에 이스라엘 즉각 응징…헤즈볼라 지휘관 잇달아 표적 공습 살해 / 연합뉴스TV(YonhapnewsTV),317362,1983,14,1750550409,25,News & Politics,키워드:속보
5175,FNUEYVe-kIE,오비터파이낸스[긴급속보] 선 넘었습니다 흔들고 이제 갑니다!#오비터파이낸스코인 #오비터파이낸스코인전망 #오비터파이낸스전망 #오비터파이낸스,61,0,0,1750550409,27,Unknown,키워드:속보
